Red Fighter,Red Odds,Blue Odds,Blue Fighter
Amanda Ribas,0.35950891877195323,0.6404910812280468,Rose Namajunas
Karl Williams,0.3478404733405319,0.6521595266594681,Justin Tafa
Edmen Shahbazyan,0.27553097261411896,0.724469027385881,AJ Dobson
Payton Talbott,0.38857898107443567,0.6114210189255643,Cameron Saaiman
Billy Quarantillo,0.616527383647971,0.38347261635202906,Youssef Zalal
Fernando Padilla,0.5279720473134006,0.4720279526865994,Luis Pajuelo
Kurt Holobaugh,0.57421926604797,0.42578073395203,Trey Ogden
Ricardo Ramos,0.3477662467411734,0.6522337532588266,Julian Erosa
Miles Johns,0.3203605733329943,0.6796394266670057,Cody Gibson
Jarno Errens,0.5121226345554604,0.4878773654445397,Steven Nguyen
Montserrat Rendon,0.44808539720425244,0.5519146027957476,Daria Zhelezniakova
Igor Severino,0.17843621059168524,0.8215637894083148,Andre Lima
Mohammed Usman,0.545313426954337,0.45468657304566296,Mick Parkin
